I, [2015-05-27T21:40:35.525059 #9328]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.0)
E, [2015-05-27T21:40:35.525417 #9328] ERROR -- Kitchen: ------Exception-------
E, [2015-05-27T21:40:35.525461 #9328] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-05-27T21:40:35.525496 #9328] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/wd/mocha-repo/.kitchen.yml does not exist.
E, [2015-05-27T21:40:35.525528 #9328] ERROR -- Kitchen: ------Backtrace-------
E, [2015-05-27T21:40:35.533807 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-05-27T21:40:35.533870 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:145:in `data'
E, [2015-05-27T21:40:35.533904 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:124:in `suites'
E, [2015-05-27T21:40:35.533944 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:175:in `filter_instances'
E, [2015-05-27T21:40:35.533977 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-05-27T21:40:35.534009 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:110:in `instances'
E, [2015-05-27T21:40:35.534040 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-05-27T21:40:35.534072 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-05-27T21:40:35.534104 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-05-27T21:40:35.534136 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-05-27T21:40:35.534171 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `call'
E, [2015-05-27T21:40:35.534204 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:56:in `perform'
E, [2015-05-27T21:40:35.534239 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2015-05-27T21:40:35.534271 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-05-27T21:40:35.534303 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-05-27T21:40:35.534345 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2015-05-27T21:40:35.534376 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-05-27T21:40:35.534408 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-05-27T21:40:35.534439 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2015-05-27T21:40:35.534471 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-05-27T21:40:35.534502 #9328] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2015-05-27T21:40:35.534542 #9328] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `load'
E, [2015-05-27T21:40:35.534578 #9328] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `<main>'
E, [2015-05-27T21:40:35.534612 #9328] ERROR -- Kitchen: ----------------------
